sector,subsector,field,model_variable,category_value,category_name,gas,gas_name,subsector_total_field,model_variable_information
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_incineration,:math:\text{N}_2\text{O} Emissions from Manure Management,incineration,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_liquid_slurry,:math:\text{N}_2\text{O} Emissions from Manure Management,liquid_slurry,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_paddock_pasture_range,:math:\text{N}_2\text{O} Emissions from Manure Management,paddock_pasture_range,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_poultry_manure,:math:\text{N}_2\text{O} Emissions from Manure Management,poultry_manure,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_storage_solid,:math:\text{N}_2\text{O} Emissions from Manure Management,storage_solid,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Soil Management,emission_co2e_co2_soil_lime_use,:math:\text{CO}_2 Emissions from Lime,,,co2,Carbon Dioxide,emission_co2e_subsector_total_soil,
AFOLU,Soil Management,emission_co2e_co2_soil_soc_mineral_soils,:math:\text{CO}_2 Emissions from Soil Carbon in Mineral Soils,,,co2,Carbon Dioxide,emission_co2e_subsector_total_soil,N Mineralization in conversion to cropland
AFOLU,Soil Management,emission_co2e_co2_soil_urea_use,:math:\text{CO}_2 Emissions from Urea,,,co2,Carbon Dioxide,emission_co2e_subsector_total_soil,
AFOLU,Soil Management,emission_co2e_n2o_soil_fertilizer,:math:\text{N}_2\text{O} Emissions from Fertilizer Use,,,n2o,Nitrus Oxide,emission_co2e_subsector_total_soil,
AFOLU,Soil Management,emission_co2e_n2o_soil_mineral_soils,:math:\text{N}_2\text{O} Emissions from Mineral Soils,,,n2o,Nitrus Oxide,emission_co2e_subsector_total_soil,
AFOLU,Soil Management,emission_co2e_n2o_soil_organic_soils,:math:\text{N}_2\text{O} Emissions from Organic Soils,,,n2o,Nitrus Oxide,emission_co2e_subsector_total_soil,
AFOLU,Soil Management,emission_co2e_n2o_soil_paddock_pasture_range,:math:\text{N}_2\text{O} Emissions from Paddock Pasture and Range,,,n2o,Nitrus Oxide,emission_co2e_subsector_total_soil,
Circular Economy,Solid Waste,emission_co2e_ch4_waso_biogas_food,:math:\text{CH}_4 Emissions from Anaerobic Biogas,food,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Emissions from anaerobic decomposition organic waste in biogas plants. This waste stream flow is used to generate energy. Note that methane leakage from these plants is assumed to be 5% with a range of 0 - 10 % (see 2006 IPCC GHG guidance Volume 5, Chapter 4, page 4.4)"
Circular Economy,Solid Waste,emission_co2e_ch4_waso_biogas_sludge,:math:\text{CH}_4 Emissions from Anaerobic Biogas,sludge,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Emissions from anaerobic decomposition organic waste in biogas plants. This waste stream flow is used to generate energy. Note that methane leakage from these plants is assumed to be 5% with a range of 0 - 10 % (see 2006 IPCC GHG guidance Volume 5, Chapter 4, page 4.4)"
Circular Economy,Solid Waste,emission_co2e_ch4_waso_biogas_yard,:math:\text{CH}_4 Emissions from Anaerobic Biogas,yard,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Emissions from anaerobic decomposition organic waste in biogas plants. This waste stream flow is used to generate energy. Note that methane leakage from these plants is assumed to be 5% with a range of 0 - 10 % (see 2006 IPCC GHG guidance Volume 5, Chapter 4, page 4.4)"
